product_id,name,category,price,stock,description,specification
DIGI-016,小米 Redmi Watch 5,数码,399.0,139,澎湃OS系统，心率血氧监测，蓝牙通话，入门智能手表标杆,"{""表盘尺寸"": ""1.96英寸"", ""续航"": ""18天"", ""特色"": ""蓝牙通话"", ""系统"": ""澎湃OS""}"
HOME-006,美的 4L智能电饭煲 FB40P501,家用电器,399.0,354,立体IH大火加热，18分钟热水快煮，智能预约，米饭香软Q弹,"{""容量"": ""4L"", ""加热方式"": ""IH电磁加热"", ""内胆"": ""精铁釜"", ""特色"": ""智能预约""}"
FOOD-019,百草味芒果干 120g,食品生鲜,19.9,582,大片厚切芒果干，酸甜软糯，果香浓郁，休闲零食,"{""规格"": ""120g/袋"", ""原料"": ""芒果"", ""口感"": ""酸甜软糯"", ""保质期"": ""180天""}"
FOOD-025,统一汤达人方便面 整箱,食品生鲜,45.9,686,日式豚骨高汤，浓郁好喝，5口味混合，懒人速食,"{""规格"": ""12杯整箱"", ""口味"": ""5味混合"", ""品牌"": ""汤达人"", ""保质期"": ""6个月""}"
PC-023,戴尔G15 游戏本,电脑,6899.0,304,锐龙7+RTX 4060，120Hz高刷屏，入门游戏本首选,"{""处理器"": ""R7-7840H"", ""内存"": ""16GB"", ""存储"": ""512GB SSD"", ""显卡"": ""RTX 4060"", ""屏幕"": ""15.6英寸120Hz""}"
DIGI-002,Apple AirPods Pro 3,数码,1899.0,235,全新多孔声学架构，音质升级声场更宽，人声更清晰，加量不加价,"{""颜色"": ""白色"", ""连接方式"": ""蓝牙5.4"", ""续航"": ""7小时(ANC开启)"", ""芯片"": ""H3""}"
FOOD-020,卫龙辣条大礼包,食品生鲜,29.9,254,经典辣条组合，童年回忆，香辣过瘾，解馋神器,"{""规格"": ""约30小包"", ""种类"": ""多口味混合"", ""品牌"": ""卫龙"", ""产地"": ""河南""}"
PHONE-005,华为 Mate 80,手机,4699.0,128,麒麟9020芯片，第二代红枫影像，鸿蒙AI，Mate系列性价比之王,"{""处理器"": ""麒麟9020"", ""屏幕"": ""6.7英寸OLED"", ""存储"": ""12+256GB"", ""系统"": ""HarmonyOS 6.0""}"
FOOD-017,三只松鼠每日坚果 750g,食品生鲜,89.0,608,每日一袋，混合坚果果干，营养均衡，健康零食,"{""规格"": ""25g×30袋"", ""种类"": ""9种混合"", ""包装"": ""独立小袋"", ""保质期"": ""180天""}"
PHONE-001,iPhone 17 Pro Max,手机,9999.0,114,A19 Pro芯片，钛金属边框，专业级摄像系统，旗舰机皇,"{""处理器"": ""A19 Pro"", ""屏幕"": ""6.9英寸OLED"", ""存储"": ""256GB起"", ""电池"": ""4685mAh""}"
