order_id,customer_id,status,product_id,product_name,created_at,carrier,tracking_number
ORD202507019986,cust100113,待发货,PC-005,MacBook Neo,2025-07-01 04:31:49,京东快递,JD6401474858799
ORD202507027493,cust100121,已发货,DIGI-004,索尼 WF-1000XM5,2025-07-02 02:13:09,京东快递,JD8103190148873
ORD202507025533,cust100066,已发货,DIGI-014,华为 WATCH GT 5,2025-07-02 11:51:38,京东快递,JD1650362047142
ORD202507021088,cust100137,已发货,FOOD-022,土猪五花肉 3斤装,2025-07-02 13:22:37,京东快递,JD2451821175662
ORD202507037296,cust100107,待发货,HOME-018,方太 F3 油烟机,2025-07-03 18:17:22,京东快递,JD0834186131710
ORD202507044693,cust100200,已发货,CLOTH-006,骆驼疾风运动鞋 男款,2025-07-04 12:26:19,京东快递,JD9766552837239
ORD202507056634,cust100101,已完成,FOOD-018,良品铺子猪肉脯 自然片,2025-07-05 05:29:50,京东快递,JD1377293092578
ORD202507068184,cust100299,已完成,CLOTH-021,优衣库UT联名款T恤,2025-07-06 16:36:27,京东快递,JD2414033010682
ORD202507088167,cust100041,已发货,CLOTH-027,北面 户外渔夫帽,2025-07-08 16:25:40,京东快递,JD2909767916270
ORD202507089712,cust100278,已完成,FOOD-019,百草味芒果干 120g,2025-07-08 18:55:58,京东快递,JD4017456311464
ORD202507084584,cust100218,已发货,HOME-016,海尔 E5Q Pro 75寸电视,2025-07-08 19:12:41,顺丰快递,SF7059065683234
ORD202507098265,cust100005,待发货,CLOTH-020,骆驼纯棉短袖T恤 情侣款,2025-07-09 21:59:19,京东快递,JD4617471946861
ORD202507103618,cust100237,已发货,PC-004,MacBook Pro 16 M4 Max,2025-07-10 07:44:24,京东快递,JD1065181901128
ORD202507108517,cust100268,已完成,PHONE-022,vivo X200 Pro,2025-07-10 18:49:02,京东快递,JD1671569621300
ORD202507113055,cust100018,已发货,DIGI-030,大疆 Osmo Mobile 7 手机云台,2025-07-11 13:49:32,京东快递,JD3426062952149
ORD202507126394,cust100077,待付款,DIGI-014,华为 WATCH GT 5,2025-07-12 12:36:07,None,None
ORD202507136036,cust100205,已取消,FOOD-028,可口可乐 330ml×24罐 整箱,2025-07-13 20:08:05,None,None
ORD202507145444,cust100071,已完成,PC-019,机械革命极光X,2025-07-14 16:23:53,京东快递,JD5070910163105
ORD202507149342,cust100264,已发货,PHONE-002,iPhone 17 Pro,2025-07-14 20:35:45,京东快递,JD1673142375698
ORD202507163060,cust100033,已完成,PHONE-004,iPhone 17 Plus,2025-07-16 18:38:08,京东快递,JD4823153409192
ORD202507173400,cust100198,已发货,PHONE-023,vivo Y500i,2025-07-17 06:30:36,京东快递,JD9890745453314
ORD202507176064,cust100185,待付款,CLOTH-022,李宁运动卫衣 套头衫,2025-07-17 06:57:26,None,None
ORD202507184523,cust100221,已发货,PHONE-012,小米 17 Pro,2025-07-18 06:26:51,京东快递,JD5433967892414
ORD202507185293,cust100293,已取消,HOME-015,海尔 WM31 电热水器,2025-07-18 08:01:54,None,None
ORD202507188177,cust100061,已发货,HOME-022,博朗 5系电动剃须刀,2025-07-18 08:17:45,京东快递,JD1205357522470
ORD202507185570,cust100050,已取消,CLOTH-008,斯凯奇摩卡熊 户外徒步鞋,2025-07-18 10:11:52,None,None
ORD202507186643,cust100232,待付款,PC-027,RedmiBook Pro 14 2025,2025-07-18 12:30:10,None,None
ORD202507209743,cust100046,已取消,PC-007,华为 MateBook GT 14,2025-07-20 06:11:49,None,None
ORD202507217671,cust100021,已完成,FOOD-020,卫龙辣条大礼包,2025-07-21 06:18:58,京东快递,JD5213243608140
ORD202507212877,cust100061,已发货,PC-010,联想小新Pro 14 2025,2025-07-21 19:27:07,京东快递,JD8404579331862
ORD202507241395,cust100033,已完成,FOOD-004,广东妃子笑荔枝 5斤装,2025-07-24 13:06:59,京东快递,JD5498189782805
ORD202507257107,cust100191,已发货,CLOTH-029,回力 经典帆布鞋,2025-07-25 03:34:15,京东快递,JD4257045730256
ORD202507253601,cust100284,已完成,HOME-011,海尔 云溪503升多门冰箱,2025-07-25 07:50:45,京东快递,JD3029837301358
ORD202507257002,cust100110,已完成,CLOTH-005,李宁 䨻科技 跑步鞋,2025-07-25 23:25:13,京东快递,JD6067804919866
ORD202507277965,cust100009,已发货,FOOD-019,百草味芒果干 120g,2025-07-27 05:21:16,京东快递,JD3846942118015
ORD202507282175,cust100075,已发货,FOOD-004,广东妃子笑荔枝 5斤装,2025-07-28 21:39:49,京东快递,JD9560685172044
ORD202507299363,cust100193,退款中,PC-021,戴尔XPS 13 Plus,2025-07-29 10:38:52,京东快递,JD5892142566546
ORD202507299065,cust100222,已完成,PHONE-020,OPPO A5 Pro,2025-07-29 10:56:36,京东快递,JD0635922813771
ORD202507317998,cust100236,已发货,FOOD-010,伽师瓜 2个装,2025-07-31 14:51:33,京东快递,JD3133918979873
ORD202508035153,cust100104,待发货,FOOD-008,江西赣南脐橙 10斤装,2025-08-03 00:32:27,京东快递,JD8548394787363
ORD202508032045,cust100219,退款中,HOME-028,格力 1.5匹变频空调,2025-08-03 20:44:18,京东快递,JD1127888720883
ORD202508039872,cust100199,退款中,DIGI-002,Apple AirPods Pro 3,2025-08-03 23:38:41,京东快递,JD0071497113105
ORD202508056645,cust100052,已取消,CLOTH-003,Adidas Ultraboost 23 跑鞋,2025-08-05 00:56:57,None,None
ORD202508055789,cust100208,已完成,PC-018,华硕天选5 Pro,2025-08-05 03:01:17,京东快递,JD6441169996334
ORD202508052068,cust100107,待付款,FOOD-009,智利无核大西梅 200g,2025-08-05 16:05:16,None,None
ORD202508054749,cust100250,待发货,DIGI-028,闪迪 1TB Ultra 高速U盘,2025-08-05 16:55:55,京东快递,JD1218046407999
ORD202508063129,cust100011,已完成,DIGI-028,闪迪 1TB Ultra 高速U盘,2025-08-06 11:34:04,京东快递,JD0360228493262
ORD202508065808,cust100103,待付款,PC-003,MacBook Pro 14 M4 Pro,2025-08-06 14:42:38,None,None
ORD202508063724,cust100254,退款中,DIGI-029,Kindle Paperwhite 电子书阅读器,2025-08-06 14:44:28,京东快递,JD9790115889825
ORD202508076259,cust100291,已发货,DIGI-025,罗技 MX Master 3S 无线鼠标,2025-08-07 06:29:01,京东快递,JD3165782151516
ORD202508078919,cust100231,已完成,PHONE-027,一加 15,2025-08-07 20:09:54,京东快递,JD3777383563817
ORD202508083474,cust100220,已发货,CLOTH-012,高梵女士羽绒服 中长款,2025-08-08 06:03:55,京东快递,JD8810360030059
ORD202508093504,cust100181,退款中,HOME-016,海尔 E5Q Pro 75寸电视,2025-08-09 00:43:38,京东快递,JD0948760857437
ORD202508117831,cust100026,待付款,PHONE-023,vivo Y500i,2025-08-11 14:03:16,None,None
ORD202508114595,cust100164,已取消,PC-029,荣耀MagicBook 14 锐龙版,2025-08-11 18:20:45,None,None
ORD202508118441,cust100020,已完成,CLOTH-018,The North Face 北面 1996羽绒服,2025-08-11 18:35:35,京东快递,JD4794964765019
ORD202508125028,cust100125,已发货,DIGI-022,Anker 安克 20000mAh 充电宝,2025-08-12 22:38:29,京东快递,JD1730646299234
ORD202508139294,cust100082,已完成,FOOD-002,泰国火山金枕榴莲 B级 5斤,2025-08-13 04:46:27,京东快递,JD1219557508678
ORD202508146923,cust100155,已完成,PC-021,戴尔XPS 13 Plus,2025-08-14 01:37:55,京东快递,JD2144697912335
ORD202508142925,cust100120,待付款,FOOD-006,红心芭乐番石榴 5斤,2025-08-14 17:38:31,None,None
ORD202508171000,cust100146,已完成,CLOTH-025,Nike 运动长裤 束脚裤,2025-08-17 10:53:55,京东快递,JD7616599465815
ORD202508194986,cust100001,已发货,FOOD-016,新疆鲜剥核桃仁 100g,2025-08-19 01:23:54,京东快递,JD8252050089106
ORD202508191260,cust100290,退款中,FOOD-011,新希望雪兰高原牧场纯牛奶 整箱,2025-08-19 11:30:27,京东快递,JD9596736632567
ORD202508192210,cust100104,已发货,FOOD-018,良品铺子猪肉脯 自然片,2025-08-19 20:13:25,京东快递,JD7897852456684
ORD202508194953,cust100128,已完成,PC-010,联想小新Pro 14 2025,2025-08-19 21:14:23,京东快递,JD8639920704858
